date	season	part	total	payouts	SPOT_TYPE_BATTLE	SPOT_TYPE_BOSS	SPOT_TYPE_ELITE	log
2026-09-07 20:05	s04	part 2	344	17:172 34:172		172+172		websocket_debug_20260907_204525.jsonl
2026-09-17 18:21	s04	part 3	510	17:180 21:90 34:180 37:60	90	180+180+60		websocket_debug_20260917_165330.jsonl
2026-09-19 21:38	s04	part 3	810	5:90 7:60 14:60 17:180 28:60 31:60 31:60 34:180 37:60	90+60+60+60+60	180+180+60	60	websocket_debug_20260919_221148.jsonl
2026-09-22 18:48	s04	part 3	480	17:180 24:60 34:180 37:60	60	180+180+60		websocket_debug_20260922_192459.jsonl
2026-09-22 20:49	s04	part 3	540	17:180 28:60 30:60 34:180 37:60	60	180+180+60	60	websocket_debug_20260922_210559.jsonl.gz
2026-09-22 21:50	s04	part 3	690	10:60 17:180 18:90 24:60 28:60 34:180 37:60	90+60+60	180+180+60	60	websocket_debug_20260922_222150.jsonl.gz
2026-09-23 22:50	s04	part 3	420	17:180 34:180 37:60		180+180+60		websocket_debug_20260923_233435.jsonl.gz
2026-09-24 20:50	s04	part 3	420	17:180 34:180 37:60		180+180+60		websocket_debug_20260924_213220.jsonl.gz
2026-09-25 19:11	s04	part 3	660	6:60 17:180 25:90 28:90 34:180 37:60	60+90+90	180+180+60		websocket_debug_20260925_194713.jsonl.gz
2026-09-25 19:37	s04	part 3	540	7:60 17:180 28:60 34:180 37:60	60	180+180+60	60	websocket_debug_20260925_194713.jsonl.gz
