res_id	family	group	tier	rarity	name	icon	amount	where
2000001	named			Common	Units	currency_unit.png	1944082	currencies
2000004	named			Mythic	Crystals	currency_paid_crystal.png	71	currencies
2000010	named			Mythic	Signal Amplification Anchor	currency_gacha_ticket_rateup_supporter.png	119	currencies
2000027	named			Legendary	Loot Certification Card	currency_chaos_week_reward.png	0	currencies
2000036	named			Legendary	Reason	currency_chaos_assault_stamina.png	7	currencies
2100001	named			Legendary	Universal Tactical Certificate	currency_combatant_ascend_public.png	243	currencies
2100002	named			Legendary	Universal Support Certificate	currency_supporter_ascend_public.png	122	currencies
2100003	named			Legendary	Potential Disk	currency_ego_tree_public.png	179	currencies
3000003	named			Mythic	Undetermined Ego Crystal	icon_item_card_levelup_all_1.png	11	items
3100001	EXP material	Combatant	Basic	Common	Basic Battle Memory	icon_item_char_level_materal_1.png	11	items
3100002	EXP material	Combatant	Advanced	Rare	Advanced Battle Memory	icon_item_char_level_materal_2.png	169	items
3100003	EXP material	Combatant	Premium	Legendary	Premium Battle Memory	icon_item_char_level_materal_3.png	112	items
3100021	EXP material	Partner	Basic	Common	Basic Support Data	icon_item_supporter_level_materal_1.png	1786	items
3100022	EXP material	Partner	Advanced	Rare	Advanced Support Data	icon_item_supporter_level_materal_2.png	219	items
3100023	EXP material	Partner	Premium	Legendary	Premium Support Data	icon_item_supporter_level_materal_3.png	174	items
3110001	named			Legendary	Eye of Wailing Prodigal	icon_item_akcalion_3.png	13	items
3110004	named			Legendary	Shards of Condemnation	currency_chaos.png	37	items
3120001	Growth Stone	Passion	Common	Common	Common Growth Stone of Passion	icon_item_card_levelup_love_1.png	0	items
3120002	Growth Stone	Passion	Great	Rare	Great Growth Stone of Passion	icon_item_card_levelup_love_2.png	52	items
3120003	Growth Stone	Passion	Premium	Legendary	Premium Growth Stone of Passion	icon_item_card_levelup_love_3.png	0	items
3120011	Growth Stone	Instinct	Common	Common	Common Growth Stone of Instinct	icon_item_card_levelup_instinct_1.png	0	items
3120012	Growth Stone	Instinct	Great	Rare	Great Growth Stone of Instinct	icon_item_card_levelup_instinct_2.png	24	items
3120013	Growth Stone	Instinct	Premium	Legendary	Premium Growth Stone of Instinct	icon_item_card_levelup_instinct_3.png	20	items
3120021	Growth Stone	Void	Common	Common	Common Growth Stone of Void	icon_item_card_levelup_creed_1.png	0	items
3120022	Growth Stone	Void	Great	Rare	Great Growth Stone of Void	icon_item_card_levelup_creed_2.png	20	items
3120023	Growth Stone	Void	Premium	Legendary	Premium Growth Stone of Void	icon_item_card_levelup_creed_3.png	0	items
3120031	Growth Stone	Order	Common	Common	Common Growth Stone of Order	icon_item_card_levelup_norms_1.png	0	items
3120032	Growth Stone	Order	Great	Rare	Great Growth Stone of Order	icon_item_card_levelup_norms_2.png	96	items
3120033	Growth Stone	Order	Premium	Legendary	Premium Growth Stone of Order	icon_item_card_levelup_norms_3.png	0	items
3120051	Growth Stone	Justice	Common	Common	Common Growth Stone of Justice	icon_item_card_levelup_narcissism_1.png	1	items
3120052	Growth Stone	Justice	Great	Rare	Great Growth Stone of Justice	icon_item_card_levelup_narcissism_2.png	79	items
3120053	Growth Stone	Justice	Premium	Legendary	Premium Growth Stone of Justice	icon_item_card_levelup_narcissism_3.png	0	items
3130001	Combatant Promotion (Manual)	Striker	Common	Common	Common Striker Manual	icon_item_char_ascend_striker_1.png	1	items
3130002	Combatant Promotion (Manual)	Striker	Advanced	Rare	Advanced Striker Manual	icon_item_char_ascend_striker_2.png	20	items
3130003	Combatant Promotion (Manual)	Striker	Premium	Legendary	Premium Striker Manual	icon_item_char_ascend_striker_3.png	18	items
3130011	Combatant Promotion (Manual)	Vanguard	Common	Common	Common Vanguard Manual	icon_item_char_ascend_defender_1.png	6	items
3130012	Combatant Promotion (Manual)	Vanguard	Advanced	Rare	Advanced Vanguard Manual	icon_item_char_ascend_defender_2.png	16	items
3130013	Combatant Promotion (Manual)	Vanguard	Premium	Legendary	Premium Vanguard Manual	icon_item_char_ascend_defender_3.png	35	items
3130021	Combatant Promotion (Manual)	Hunter	Common	Common	Common Hunter Manual	icon_item_char_ascend_hunter_1.png	14	items
3130022	Combatant Promotion (Manual)	Hunter	Advanced	Rare	Advanced Hunter Manual	icon_item_char_ascend_hunter_2.png	17	items
3130023	Combatant Promotion (Manual)	Hunter	Premium	Legendary	Premium Hunter Manual	icon_item_char_ascend_hunter_3.png	12	items
3130031	Combatant Promotion (Manual)	Ranger	Common	Common	Common Ranger Manual	icon_item_char_ascend_ranger_1.png	0	items
3130032	Combatant Promotion (Manual)	Ranger	Advanced	Rare	Advanced Ranger Manual	icon_item_char_ascend_ranger_2.png	16	items
3130033	Combatant Promotion (Manual)	Ranger	Premium	Legendary	Premium Ranger Manual	icon_item_char_ascend_ranger_3.png	35	items
3130041	Combatant Promotion (Manual)	Psionic	Common	Common	Common Psionic Manual	icon_item_char_ascend_psionics_1.png	1	items
3130042	Combatant Promotion (Manual)	Psionic	Advanced	Rare	Advanced Psionic Manual	icon_item_char_ascend_psionics_2.png	1	items
3130043	Combatant Promotion (Manual)	Psionic	Premium	Legendary	Premium Psionic Manual	icon_item_char_ascend_psionics_3.png	6	items
3130051	Combatant Promotion (Manual)	Controller	Common	Common	Common Controller Manual	icon_item_char_ascend_controller_1.png	12	items
