res_id	where	amount	Name	Type	Note
2000005	currencies	0			
2000006	currencies	3			Spectral Cube candidate
2000008	currencies	0			
2000013	currencies	0			
2000017	currencies	0			
2000021	currencies	0			
2000033	currencies	3			Spectral Cube candidate
2000034	currencies	0			
3920001				Pure White Fragments	Galactic Disaster Season 1 Event Currency
3920002				Radiant Life	Galactic Disaster Season 2 Event Currency
3920004	items	0			
3920005	items	0			
3920006				Flawless Melody	Galactic Disaster Season 3 Event Currency
3930002					Couldn't find any 10s. Possibly an event item, because it was gone from the snapshot after new patch dropped
4010001	items	1			Summer 2026 Hilde - Main Screen Background candidate
4010002	items	1			Summer 2026 Arabella - Main Screen Background candidate
4100000	items	0			
4100005	items	0			
4100006	items	0			
4100007	items	0			
4100010	items	0			
5100001	items	0			
5100003	items	0			
5100005	items	0			
5100006	items	0			
5100007	items	0			
5100010	items	0			
5100011	items	0			
5100012	items	0			
5100013	items	0			
5100017	items	0			
5100018	items	0			
5100037	items	0			
5100038	items	0			
5100039	items	0			
5100041	items	0			
5100042	items	0			
5100049	items	0			
5100055	items	0			
5100064	items	0			
5100066	items	0			
5100067	items	0			
5100068	items	0			
5100069	items	0			
5100073	items	0			
5100074	items	0			
5201003	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201005	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201009	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201017	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201021	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201024	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201033	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201039	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201040	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201049	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201050	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201052	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201056	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201057	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201060	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201061	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201062	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201074	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201075	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201077	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201078	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201079	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201080	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201081	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
5201082	items	0			Animated Card Unlock Item, one per combatant. Spent by `purchase_card_animation`, whose request carries the `char_res_id` it belongs to -- unlock one animation to name it
9100012	items	1			
9100013	items	1			
9100014	items	1			
9100015	items	1			
9100016	items	1			
9210025	items	1			Background?
9210026	items	1			Background?
9210027	items	1			Background?
9210036	items	1			Background?
9210037	items	1			Background?
9210038	items	1			Background?
9210039	items	1			Background?
9210040	items	1			Background?
9210041	items	1			Background?
9210042	items	1			Background?
9210043	items	1			Background?
9210044	items	1			Background?
9210049	items	1	Shattered Light and Claw	Background - Save data	
9210050	items	1			Background?
9210052	items	1			Background?
9210053	items	1			Background?
9210054	items	1			Background?
9210055	items	1			Background?
9300115	items	1			Galactic Medal candidate
9300116	items	1			Galactic Medal candidate
9300117	items	1			Galactic Medal candidate
9300118	items	1			Galactic Medal candidate
9300119	items	1			Galactic Medal candidate
9300120	items	1			Galactic Medal candidate
9300121	items	1			Galactic Medal candidate
